浓缩污泥TSS,浓缩污泥Q,上清液TSS,泥饼TSS,泥饼Q,滤液TSS,滤液Q,干固体产率,泥饼含固率,t_day,目标泥饼含固率,目标浓缩含固率,轨迹
70000.0,49.14229597069156,209.026856064033,280000.0,12.039862512819433,1854.304635761591,37.10243345787213,3371.161503589441,28000.0,0.0,28.0,7.0,健康
70000.0,49.1425355831235,209.028024383779,280000.0,12.039921217865254,1854.3046357615904,37.10261436525825,3371.177941002271,28000.0,0.0104166666666666,28.0,7.0,健康
70000.0,49.14113352383495,209.02118814465265,280000.0,12.039577713339567,1854.3046357615917,37.101555810495384,3371.081759735079,28000.0,0.0208333333333333,28.0,7.0,健康
70000.0,49.12603355627038,208.9475664952637,280000.0,12.035878221286243,1854.304635761591,37.09015533498414,3370.045901960148,28000.0,0.03125,28.0,7.0,健康
70000.0,49.086424312241206,208.75447846854377,280000.0,12.026173956499095,1854.304635761591,37.06025035574211,3367.328707819747,28000.0,0.0416666666666666,28.0,7.0,健康
70000.0,49.023471234922,208.44768708403402,280000.0,12.01075045255589,1854.304635761591,37.01272078236611,3363.0101267156488,28000.0,0.0520833333333333,28.0,7.0,健康
70000.0,48.93092552321333,207.99688958243433,280000.0,11.988076753187263,1854.3046357615904,36.942848770026075,3356.6614908924334,28000.0,0.0625,28.0,7.0,健康
70000.0,48.806608527659606,207.39172225466424,280000.0,11.957619089276607,1854.3046357615917,36.84898943838299,3348.13334499745,28000.0,0.0729166666666666,28.0,7.0,健康
70000.0,48.66038743922558,206.68049971762653,280000.0,11.921794922610268,1854.304635761591,36.73859251661531,3338.102578330875,28000.0,0.0833333333333333,28.0,7.0,健康
70000.0,48.495907392023724,205.88120389846614,280000.0,11.881497311045813,1854.304635761591,36.61441008097791,3326.8192470928275,28000.0,0.09375,28.0,7.0,健康
70000.0,48.3149837888059,205.00290208722717,280000.0,11.837171028257442,1854.3046357615904,36.47781276054846,3314.407887912084,28000.0,0.1041666666666666,28.0,7.0,健康
70000.0,48.12618397032852,204.0873707445641,280000.0,11.790915072730487,1854.304635761591,36.335268897598034,3301.456220364536,28000.0,0.1145833333333333,28.0,7.0,健康
70000.0,47.931817365869826,203.14591627507744,280000.0,11.743295254638104,1854.3046357615904,36.18852211123173,3288.122671298669,28000.0,0.125,28.0,7.0,健康
70000.0,47.7315515886461,202.17702296823435,280000.0,11.694230139218298,1854.3046357615917,36.0373214494278,3274.384438981124,28000.0,0.1354166666666666,28.0,7.0,健康
70000.0,47.531326074468424,201.20947405945464,280000.0,11.645174888244764,1854.304635761591,35.886151186223664,3260.6489687085336,28000.0,0.1458333333333333,28.0,7.0,健康
70000.0,47.33303219561685,200.25239028261296,280000.0,11.596592887926128,1854.304635761591,35.73643930769072,3247.046008619316,28000.0,0.15625,28.0,7.0,健康
70000.0,47.13569579708989,199.3010431818712,280000.0,11.548245470287021,1854.304635761591,35.587450326802866,3233.508731680366,28000.0,0.1666666666666666,28.0,7.0,健康
70000.0,46.943308943149944,198.37462677970802,280000.0,11.501110691071739,1854.3046357615917,35.4421982520782,3220.310993500087,28000.0,0.1770833333333333,28.0,7.0,健康
70000.0,46.75809335493497,197.48373843998468,280000.0,11.455732871959068,1854.304635761591,35.30236048297591,3207.605204148539,28000.0,0.1875,28.0,7.0,健康
70000.0,46.58032509816492,196.62958895078782,280000.0,11.412179649050403,1854.3046357615904,35.16814544911452,3195.4103017341126,28000.0,0.1979166666666666,28.0,7.0,健康
70000.0,46.41468171202713,195.83450486073292,280000.0,11.371597019446646,1854.304635761591,35.043084692580486,3184.0471654450607,28000.0,0.2083333333333333,28.0,7.0,健康
70000.00000000001,46.26565834899861,195.11986094850462,280000.0,11.335086295504665,1854.3046357615917,34.93057205349395,3173.8241627413063,28000.0,0.21875,28.0,7.0,健康
70000.0,46.13569544960913,194.4971349048765,280000.0,11.303245385154234,1854.3046357615904,34.832450064454896,3164.9087078431853,28000.0,0.2291666666666666,28.0,7.0,健康
70000.0,46.02293244602781,193.9572102204231,280000.0,11.275618449276811,1854.3046357615904,34.747313996751004,3157.173165797507,28000.0,0.2395833333333333,28.0,7.0,健康
70000.0,45.92240364008922,193.47616733109652,280000.0,11.250988891821862,1854.3046357615917,34.67141474826736,3150.2768897101214,28000.0,0.25,28.0,7.0,健康
70000.0,45.8305283063016,193.03678178277823,280000.0,11.228479435043896,1854.3046357615917,34.60204887125771,3143.974241812291,28000.0,0.2604166666666666,28.0,7.0,健康
70000.0,45.746424648351535,192.63477221777575,280000.0,11.207874038846127,1854.304635761591,34.53855060950541,3138.2047308769156,28000.0,0.2708333333333333,28.0,7.0,健康
70000.0,45.67994043575339,192.31712339425172,280000.0,11.191585406759584,1854.3046357615917,34.4883550289938,3133.6439138926835,28000.0,0.28125,28.0,7.0,健康
70000.0,45.655436885814986,192.20008152031335,280000.0,11.185582037024668,1854.3046357615904,34.46985484879032,3131.962970366907,28000.0,0.2916666666666666,28.0,7.0,健康
70000.0,45.67602800824492,192.29843444362535,280000.0,11.190626862020002,1854.3046357615904,34.48540114622492,3133.3755213656004,28000.0,0.3020833333333333,28.0,7.0,健康
70000.0,45.739441571592174,192.60140256409332,280000.0,11.206163185040083,1854.304635761591,34.53327838655209,3137.725691811223,28000.0,0.3125,28.0,7.0,健康
70000.0,45.89126901619418,193.32724211265173,280000.0,11.243360908967578,1854.3046357615917,34.6479081072266,3148.1410545109215,28000.0,0.3229166666666666,28.0,7.0,健康
70000.0,46.11649543751298,194.40517723909437,280000.0,11.29854138219068,1854.304635761591,34.8179540553223,3163.5915870133904,28000.0,0.3333333333333333,28.0,7.0,健康
70000.0,46.39472223619124,195.73875239287378,280000.0,11.366706947866854,1854.304635761591,35.02801528832439,3182.677945402719,28000.0,0.34375,28.0,7.0,健康
70000.0,46.777205947739944,197.57562500361087,280000.0,11.460415457196286,1854.304635761591,35.31679049054366,3208.91632801496,28000.0,0.3541666666666666,28.0,7.0,健康
70000.0,47.24509624333529,199.82831894562653,280000.0,11.57504857961715,1854.3046357615917,35.67004766371814,3241.013602292802,28000.0,0.3645833333333333,28.0,7.0,健康
70000.0,47.763655628341155,202.33226606078549,280000.0,11.702095628943587,1854.3046357615917,36.061559999397566,3276.5867761042045,28000.0,0.375,28.0,7.0,健康
70000.0,48.28977657570873,204.88060744513342,280000.0,11.830995261048638,1854.304635761591,36.458781314660094,3312.6786730936187,28000.0,0.3854166666666666,28.0,7.0,健康
70000.0,48.77343884180995,207.23032993756829,280000.0,11.949492516243437,1854.304635761591,36.82394632556651,3345.857904548162,28000.0,0.3958333333333333,28.0,7.0,健康
70000.0,49.20510105669199,209.33314273314065,280000.0,12.055249758889536,1854.304635761591,37.14985129780245,3375.4699324890703,28000.0,0.40625,28.0,7.0,健康
70000.0,49.59183825926228,211.2217033116786,280000.0,12.150000373519259,1854.304635761591,37.44183788574302,3402.0001045853924,28000.0,0.4166666666666666,28.0,7.0,健康
70000.0,49.94093846427899,212.9302143899989,280000.0,12.235529923748354,1854.304635761591,37.70540854053064,3425.9483786495393,28000.0,0.4270833333333333,28.0,7.0,健康
70000.0,50.25562617106061,214.47336321664886,280000.0,12.31262841190985,1854.304635761591,37.942997759150764,3447.535955334758,28000.0,0.4375,28.0,7.0,健康
70000.0,50.53591511728325,215.85027426361034,280000.0,12.381299203734397,1854.304635761591,38.15461591354886,3466.7637770456313,28000.0,0.4479166666666666,28.0,7.0,健康
70000.0,50.782929849918666,217.06564123180038,280000.0,12.441817813230077,1854.3046357615917,38.341112036688585,3483.708987704422,28000.0,0.4583333333333333,28.0,7.0,健康
70000.0,50.99757340293035,218.1231945892088,280000.0,12.494405483717935,1854.304635761591,38.503167919212416,3498.433535441022,28000.0,0.46875,28.0,7.0,健康
70000.0,51.17921294797437,219.01919889385002,280000.0,12.53890717225372,1854.304635761591,38.64030577572065,3510.894008231042,28000.0,0.4791666666666666,28.0,7.0,健康
70000.0,51.32867766443084,219.75722056213945,280000.0,12.57552602778556,1854.3046357615917,38.75315163664528,3521.147287779957,28000.0,0.4895833333333333,28.0,7.0,健康
70000.0,51.445060907576455,220.33235170688573,280000.0,12.60403992235623,1854.304635761591,38.841020985220226,3529.131178259745,28000.0,0.5,28.0,7.0,健康
70000.0,51.525028225866485,220.72775893257844,280000.0,12.623631915337294,1854.3046357615917,38.901396310529194,3534.616936294442,28000.0,0.5104166666666666,28.0,7.0,健康
70000.0,51.56926893826449,220.94659350364594,280000.0,12.6344708898748,1854.304635761591,38.934798048389695,3537.651849164944,28000.0,0.5208333333333333,28.0,7.0,健康
70000.0,51.58214587816963,221.01029958350972,280000.0,12.637625740151556,1854.3046357615904,38.94452013801807,3538.5352072424357,28000.0,0.53125,28.0,7.0,健康
70000.0,51.56877942727658,220.94417184320528,280000.0,12.634350959682763,1854.304635761591,38.93442846759382,3537.6182687111736,28000.0,0.5416666666666666,28.0,7.0,健康
70000.0,51.53598687266399,220.78195994542457,280000.0,12.626316783802677,1854.304635761591,38.90967008886131,3535.3686994647496,28000.0,0.5520833333333333,28.0,7.0,健康
70000.0,51.491311565231705,220.56102006514058,280000.0,12.615371333481768,1854.304635761591,38.87594023174994,3532.303973374895,28000.0,0.5625,28.0,7.0,健康
70000.0,51.440886506036854,220.31171612476373,280000.0,12.603017193979023,1854.3046357615901,38.83786931205783,3528.8448143141263,28000.0,0.5729166666666666,28.0,7.0,健康
70000.0,51.38852038444548,220.05289524922125,280000.0,12.590187494189141,1854.304635761591,38.79833289025633,3525.2524983729595,28000.0,0.5833333333333333,28.0,7.0,健康
70000.0,51.33671614574526,219.7969314314117,280000.0,12.577495455707592,1854.3046357615917,38.759220690037665,3521.6987275981255,28000.0,0.59375,28.0,7.0,健康
70000.0,51.286689501913834,219.54982610401026,280000.0,12.565238927968888,1854.304635761591,38.72145057394494,3518.2668998312884,28000.0,0.6041666666666666,28.0,7.0,健康
70000.0,51.239102368692905,219.3148394226252,280000.0,12.55358008032976,1854.304635761591,38.685522288363146,3515.002422492333,28000.0,0.6145833333333333,28.0,7.0,健康
70000.0,51.194720949870195,219.09574303553345,280000.0,12.542706632718197,1854.304635761591,38.652014317151995,3511.957857161095,28000.0,0.625,28.0,7.0,健康
70000.0,51.153861890406645,218.89408687344022,280000.0,12.532696163149632,1854.3046357615917,38.621165727257015,3509.154925681897,28000.0,0.6354166666666666,28.0,7.0,健康
70000.0,51.1164861064836,218.70966532351733,280000.0,12.52353909608848,1854.304635761591,38.592947010395115,3506.5909469047747,28000.0,0.6458333333333333,28.0,7.0,健康
70000.0,51.083471757148416,218.54679853230672,280000.0,12.515450580501366,1854.3046357615917,38.56802117664705,3504.326162540382,28000.0,0.65625,28.0,7.0,健康
70000.0,51.0580235610764,218.42127915901892,280000.0,12.509215772463719,1854.304635761591,38.548807788612685,3502.580416289841,28000.0,0.6666666666666666,28.0,7.0,健康
70000.0,51.043468379216655,218.34949652830838,280000.0,12.505649752908086,1854.3046357615922,38.53781862630857,3501.5819308142645,28000.0,0.6770833333333333,28.0,7.0,健康
70000.0,51.040545657518265,218.33508312733792,280000.0,12.504933686091972,1854.3046357615904,38.5356119714263,3501.381432105752,28000.0,0.6875,28.0,7.0,健康
70000.0,51.05107313707115,218.38700057109278,280000.0,12.507512918582432,1854.304635761591,38.54356021848872,3502.103617203081,28000.0,0.6979166666666666,28.0,7.0,健康
70000.0,51.07611092034574,218.5104903529254,280000.0,12.513647175484703,1854.3046357615904,38.56246374486104,3503.821209135717,28000.0,0.7083333333333333,28.0,7.0,健康
70000.0,51.11368045174467,218.69582318103699,280000.0,12.522851710677443,1854.304635761591,38.59082874106723,3506.398478989684,28000.0,0.71875,28.0,7.0,健康
70000.0,51.163233765182795,218.94033654414875,280000.0,12.534992272469783,1854.3046357615904,38.628241492713016,3509.797836291539,28000.0,0.7291666666666666,28.0,7.0,健康
70000.0,51.22456798196922,219.24308154592688,280000.0,12.55001915558246,1854.304635761591,38.67454882638676,3514.005363563089,28000.0,0.7395833333333333,28.0,7.0,健康
70000.0,51.29661164058768,219.59883036411262,280000.0,12.56766985194398,1854.304635761591,38.728941788643695,3518.9475585443147,28000.0,0.75,28.0,7.0,健康
70000.0,51.3823775107927,220.02253926608535,280000.0,12.588682490144208,1854.3046357615904,38.79369502064849,3524.8310972403783,28000.0,0.7604166666666666,28.0,7.0,健康
