t_day,泥饼含固率,目标含固率,湿泥饼产量,滤液量,滤液TSS,干固体产率,上清液TSS,浓缩含固率,轨迹
0.0,28.0,28.0,12.039862512819433,37.10243345787213,1854.304635761591,3371.161503589441,209.026856064033,7.0,健康
0.0104166666666666,28.0,28.0,12.039921217865254,37.10261436525825,1854.3046357615904,3371.177941002271,209.028024383779,7.0,健康
0.0208333333333333,28.0,28.0,12.039577713339567,37.101555810495384,1854.3046357615917,3371.081759735079,209.02118814465265,7.0,健康
0.03125,28.0,28.0,12.035878221286243,37.09015533498414,1854.304635761591,3370.045901960148,208.9475664952637,7.0,健康
0.0416666666666666,28.0,28.0,12.026173956499095,37.06025035574211,1854.304635761591,3367.328707819747,208.75447846854377,7.0,健康
0.0520833333333333,28.0,28.0,12.01075045255589,37.01272078236611,1854.304635761591,3363.0101267156488,208.44768708403402,7.0,健康
0.0625,28.0,28.0,11.988076753187263,36.942848770026075,1854.3046357615904,3356.6614908924334,207.99688958243433,7.0,健康
0.0729166666666666,28.0,28.0,11.957619089276607,36.84898943838299,1854.3046357615917,3348.13334499745,207.39172225466424,7.0,健康
0.0833333333333333,28.0,28.0,11.921794922610268,36.73859251661531,1854.304635761591,3338.102578330875,206.68049971762653,7.0,健康
0.09375,28.0,28.0,11.881497311045813,36.61441008097791,1854.304635761591,3326.8192470928275,205.88120389846614,7.0,健康
0.1041666666666666,28.0,28.0,11.837171028257442,36.47781276054846,1854.3046357615904,3314.407887912084,205.00290208722717,7.0,健康
0.1145833333333333,28.0,28.0,11.790915072730487,36.335268897598034,1854.304635761591,3301.456220364536,204.0873707445641,7.0,健康
0.125,28.0,28.0,11.743295254638104,36.18852211123173,1854.3046357615904,3288.122671298669,203.14591627507744,7.0,健康
0.1354166666666666,28.0,28.0,11.694230139218298,36.0373214494278,1854.3046357615917,3274.384438981124,202.17702296823435,7.0,健康
0.1458333333333333,28.0,28.0,11.645174888244764,35.886151186223664,1854.304635761591,3260.6489687085336,201.20947405945464,7.0,健康
0.15625,28.0,28.0,11.596592887926128,35.73643930769072,1854.304635761591,3247.046008619316,200.25239028261296,7.0,健康
0.1666666666666666,28.0,28.0,11.548245470287021,35.587450326802866,1854.304635761591,3233.508731680366,199.3010431818712,7.0,健康
0.1770833333333333,28.0,28.0,11.501110691071739,35.4421982520782,1854.3046357615917,3220.310993500087,198.37462677970802,7.0,健康
0.1875,28.0,28.0,11.455732871959068,35.30236048297591,1854.304635761591,3207.605204148539,197.48373843998468,7.0,健康
0.1979166666666666,28.0,28.0,11.412179649050403,35.16814544911452,1854.3046357615904,3195.4103017341126,196.62958895078782,7.0,健康
0.2083333333333333,28.0,28.0,11.371597019446646,35.043084692580486,1854.304635761591,3184.0471654450607,195.83450486073292,7.0,健康
0.21875,28.0,28.0,11.335086295504665,34.93057205349395,1854.3046357615917,3173.8241627413063,195.11986094850462,7.000000000000002,健康
0.2291666666666666,28.0,28.0,11.303245385154234,34.832450064454896,1854.3046357615904,3164.9087078431853,194.4971349048765,7.0,健康
0.2395833333333333,28.0,28.0,11.275618449276811,34.747313996751004,1854.3046357615904,3157.173165797507,193.9572102204231,7.0,健康
0.25,28.0,28.0,11.250988891821862,34.67141474826736,1854.3046357615917,3150.2768897101214,193.47616733109652,7.0,健康
0.2604166666666666,28.0,28.0,11.228479435043896,34.60204887125771,1854.3046357615917,3143.974241812291,193.03678178277823,7.0,健康
0.2708333333333333,28.0,28.0,11.207874038846127,34.53855060950541,1854.304635761591,3138.2047308769156,192.63477221777575,7.0,健康
0.28125,28.0,28.0,11.191585406759584,34.4883550289938,1854.3046357615917,3133.6439138926835,192.31712339425172,7.0,健康
0.2916666666666666,28.0,28.0,11.185582037024668,34.46985484879032,1854.3046357615904,3131.962970366907,192.20008152031335,7.0,健康
0.3020833333333333,28.0,28.0,11.190626862020002,34.48540114622492,1854.3046357615904,3133.3755213656004,192.29843444362535,7.0,健康
0.3125,28.0,28.0,11.206163185040083,34.53327838655209,1854.304635761591,3137.725691811223,192.60140256409332,7.0,健康
0.3229166666666666,28.0,28.0,11.243360908967578,34.6479081072266,1854.3046357615917,3148.1410545109215,193.32724211265173,7.0,健康
0.3333333333333333,28.0,28.0,11.29854138219068,34.8179540553223,1854.304635761591,3163.5915870133904,194.40517723909437,7.0,健康
0.34375,28.0,28.0,11.366706947866854,35.02801528832439,1854.304635761591,3182.677945402719,195.73875239287378,7.0,健康
0.3541666666666666,28.0,28.0,11.460415457196286,35.31679049054366,1854.304635761591,3208.91632801496,197.57562500361087,7.0,健康
0.3645833333333333,28.0,28.0,11.57504857961715,35.67004766371814,1854.3046357615917,3241.013602292802,199.82831894562653,7.0,健康
0.375,28.0,28.0,11.702095628943587,36.061559999397566,1854.3046357615917,3276.5867761042045,202.33226606078549,7.0,健康
0.3854166666666666,28.0,28.0,11.830995261048638,36.458781314660094,1854.304635761591,3312.6786730936187,204.88060744513342,7.0,健康
0.3958333333333333,28.0,28.0,11.949492516243437,36.82394632556651,1854.304635761591,3345.857904548162,207.23032993756829,7.0,健康
0.40625,28.0,28.0,12.055249758889536,37.14985129780245,1854.304635761591,3375.4699324890703,209.33314273314065,7.0,健康
0.4166666666666666,28.0,28.0,12.150000373519259,37.44183788574302,1854.304635761591,3402.0001045853924,211.2217033116786,7.0,健康
0.4270833333333333,28.0,28.0,12.235529923748354,37.70540854053064,1854.304635761591,3425.9483786495393,212.9302143899989,7.0,健康
0.4375,28.0,28.0,12.31262841190985,37.942997759150764,1854.304635761591,3447.535955334758,214.47336321664886,7.0,健康
0.4479166666666666,28.0,28.0,12.381299203734397,38.15461591354886,1854.304635761591,3466.7637770456313,215.85027426361034,7.0,健康
0.4583333333333333,28.0,28.0,12.441817813230077,38.341112036688585,1854.3046357615917,3483.708987704422,217.06564123180038,7.0,健康
0.46875,28.0,28.0,12.494405483717935,38.503167919212416,1854.304635761591,3498.433535441022,218.1231945892088,7.0,健康
0.4791666666666666,28.0,28.0,12.53890717225372,38.64030577572065,1854.304635761591,3510.894008231042,219.01919889385002,7.0,健康
0.4895833333333333,28.0,28.0,12.57552602778556,38.75315163664528,1854.3046357615917,3521.147287779957,219.75722056213945,7.0,健康
0.5,28.0,28.0,12.60403992235623,38.841020985220226,1854.304635761591,3529.131178259745,220.33235170688573,7.0,健康
0.5104166666666666,28.0,28.0,12.623631915337294,38.901396310529194,1854.3046357615917,3534.616936294442,220.72775893257844,7.0,健康
0.5208333333333333,28.0,28.0,12.6344708898748,38.934798048389695,1854.304635761591,3537.651849164944,220.94659350364594,7.0,健康
0.53125,28.0,28.0,12.637625740151556,38.94452013801807,1854.3046357615904,3538.5352072424357,221.01029958350972,7.0,健康
0.5416666666666666,28.0,28.0,12.634350959682763,38.93442846759382,1854.304635761591,3537.6182687111736,220.94417184320528,7.0,健康
0.5520833333333333,28.0,28.0,12.626316783802677,38.90967008886131,1854.304635761591,3535.3686994647496,220.78195994542457,7.0,健康
0.5625,28.0,28.0,12.615371333481768,38.87594023174994,1854.304635761591,3532.303973374895,220.56102006514058,7.0,健康
0.5729166666666666,28.0,28.0,12.603017193979023,38.83786931205783,1854.3046357615901,3528.8448143141263,220.31171612476373,7.0,健康
0.5833333333333333,28.0,28.0,12.590187494189141,38.79833289025633,1854.304635761591,3525.2524983729595,220.05289524922125,7.0,健康
0.59375,28.0,28.0,12.577495455707592,38.759220690037665,1854.3046357615917,3521.6987275981255,219.7969314314117,7.0,健康
0.6041666666666666,28.0,28.0,12.565238927968888,38.72145057394494,1854.304635761591,3518.2668998312884,219.54982610401026,7.0,健康
0.6145833333333333,28.0,28.0,12.55358008032976,38.685522288363146,1854.304635761591,3515.002422492333,219.3148394226252,7.0,健康
0.625,28.0,28.0,12.542706632718197,38.652014317151995,1854.304635761591,3511.957857161095,219.09574303553345,7.0,健康
0.6354166666666666,28.0,28.0,12.532696163149632,38.621165727257015,1854.3046357615917,3509.154925681897,218.89408687344022,7.0,健康
0.6458333333333333,28.0,28.0,12.52353909608848,38.592947010395115,1854.304635761591,3506.5909469047747,218.70966532351733,7.0,健康
0.65625,28.0,28.0,12.515450580501366,38.56802117664705,1854.3046357615917,3504.326162540382,218.54679853230672,7.0,健康
0.6666666666666666,28.0,28.0,12.509215772463719,38.548807788612685,1854.304635761591,3502.580416289841,218.42127915901892,7.0,健康
0.6770833333333333,28.0,28.0,12.505649752908086,38.53781862630857,1854.3046357615922,3501.5819308142645,218.34949652830838,7.0,健康
0.6875,28.0,28.0,12.504933686091972,38.5356119714263,1854.3046357615904,3501.381432105752,218.33508312733792,7.0,健康
0.6979166666666666,28.0,28.0,12.507512918582432,38.54356021848872,1854.304635761591,3502.103617203081,218.38700057109278,7.0,健康
