model,RMSE,PHM08,MAE,train_rows,test_units,rul_cap
ridge,73.15715501932665,242031.92244696477,61.28856575012207,20631,100,125
gradient_boosting,84.44909882985436,519294.636293203,73.27696351319696,20631,100,125
constant_train_median,49.81987555183172,166570.54261288798,39.08,20631,100,125
