变体,结论,各自重新标定 q0.995_timely,各自重新标定 q0.995_误报,共用同一阈值（V0 自标定）_timely,共用同一阈值（V0 自标定）_误报,原口径：硬编码 2.395_timely,原口径：硬编码 2.395_误报
V3 不做工况条件化,不做工况条件化 → timely 归零,0,0,0,0,0,0
V4 去掉派生特征,去掉派生特征 → timely 归零,0,11,0,9,0,171
V1 聚合改 max|z|（单信号）,max|z| 聚合 → 召回更差、误报更高,0,13,0,15,1,418
