method,q,file,status,N,cal_start,cal_end,cal_n,eval_start,eval_n,flagged,cal_anomaly_samples,threshold,pca_components,true_event_count,hit_event_count,alarm_event_count,false_alarm_event_count,healthy_samples,alarm_healthy_samples,event_recall,false_alarm_events_per_healthy_hour,tia_h,median_delay_s,too_early_overlap_count
F3,0.995,other/1.csv,ok,745,120,480,360,480,265,0,0,1.699900973678592,,1,0,1,1,77,68,0.0,46.753246753246756,0.8831168831168831,,1
F3,0.995,other/10.csv,ok,1327,120,480,360,480,847,0,0,1.8159744980050772,,1,1,1,0,261,0,1.0,0.0,0.0,101.0,0
F3,0.995,other/11.csv,ok,1190,120,480,360,480,710,0,0,1.2417643972612487,,1,0,0,0,259,0,0.0,0.0,0.0,,0
F3,0.995,other/12.csv,ok,1048,120,480,360,480,568,0,0,2.192279861763439,,1,0,0,0,259,0,0.0,0.0,0.0,,0
F3,0.995,other/13.csv,ok,923,120,480,360,480,443,0,0,2.338849286172784,,1,0,0,0,178,0,0.0,0.0,0.0,,0
F3,0.995,other/14.csv,ok,905,120,480,360,480,425,0,0,1.4660120898122602,,1,0,1,1,123,59,0.0,29.26829268292683,0.4796747967479675,,0
F3,0.995,other/2.csv,ok,780,120,480,360,480,300,1,360,2.1371776682086203,,0,0,0,0,292,0,,0.0,0.0,,0
F3,0.995,other/3.csv,ok,1137,120,480,360,480,657,0,0,1.7125524996472692,,1,0,1,1,259,47,0.0,13.899613899613898,0.18146718146718147,,0
F3,0.995,other/4.csv,ok,1191,120,480,360,480,711,0,0,1.7241128046424208,,1,0,0,0,316,0,0.0,0.0,0.0,,0
F3,0.995,other/5.csv,ok,1155,120,480,360,480,675,0,0,0.9951815043866659,,1,1,2,1,265,157,1.0,13.584905660377357,0.5924528301886792,51.0,0
F3,0.995,other/6.csv,ok,1147,120,480,360,480,667,0,0,0.7283373314029961,,1,1,2,1,265,111,1.0,13.584905660377357,0.4188679245283019,-38.0,0
F3,0.995,other/7.csv,ok,1090,120,480,360,480,610,0,0,1.8365092471319784,,1,1,1,0,263,0,1.0,0.0,0.0,293.0,0
F3,0.995,other/8.csv,ok,1147,120,480,360,480,667,0,0,1.9383021984849873,,1,0,1,1,264,4,0.0,13.636363636363637,0.015151515151515152,,0
F3,0.995,other/9.csv,ok,1144,120,480,360,480,664,0,0,2.6213321513213863,,1,0,0,0,263,0,0.0,0.0,0.0,,0
F3,0.995,valve1/0.csv,ok,1147,120,480,360,480,667,0,0,2.0451387555104175,,1,1,1,0,266,0,1.0,0.0,0.0,116.0,0
F3,0.995,valve1/1.csv,ok,1145,120,480,360,480,665,0,0,2.8341681814623136,,1,0,0,0,263,0,0.0,0.0,0.0,,0
F3,0.995,valve1/10.csv,ok,1146,120,480,360,480,666,0,0,1.5983759181326678,,1,1,1,0,265,0,1.0,0.0,0.0,25.0,0
F3,0.995,valve1/11.csv,ok,1141,120,480,360,480,661,0,0,2.613750714924849,,1,0,0,0,262,0,0.0,0.0,0.0,,0
F3,0.995,valve1/12.csv,ok,1140,120,480,360,480,660,0,0,2.747248644574404,,1,0,1,1,261,64,0.0,13.793103448275863,0.24521072796934865,,0
F3,0.995,valve1/13.csv,ok,1140,120,480,360,480,660,0,0,1.8562845744827061,,1,0,1,1,261,12,0.0,13.793103448275863,0.04597701149425287,,0
F3,0.995,valve1/14.csv,ok,1139,120,480,360,480,659,0,0,2.1395988158628176,,1,1,1,0,260,0,1.0,0.0,0.0,335.0,0
F3,0.995,valve1/15.csv,ok,1150,120,480,360,480,670,0,0,1.4399578895731973,,1,1,1,0,266,25,1.0,0.0,0.09398496240601503,-25.0,0
F3,0.995,valve1/2.csv,ok,1075,120,480,360,480,595,0,0,3.1156030753744894,,1,0,0,0,258,0,0.0,0.0,0.0,,0
F3,0.995,valve1/3.csv,ok,1148,120,480,360,480,668,0,0,2.168391654531215,,1,0,0,0,264,0,0.0,0.0,0.0,,0
F3,0.995,valve1/4.csv,ok,1095,120,480,360,480,615,0,0,2.8361107699441,,1,0,0,0,266,0,0.0,0.0,0.0,,0
F3,0.995,valve1/5.csv,ok,1154,120,480,360,480,674,0,0,2.186957785847153,,1,0,0,0,271,0,0.0,0.0,0.0,,0
F3,0.995,valve1/6.csv,ok,1154,120,480,360,480,674,0,0,2.627751887978237,,1,0,0,0,269,0,0.0,0.0,0.0,,0
F3,0.995,valve1/7.csv,ok,1094,120,480,360,480,614,0,0,1.6437389808515372,,1,0,0,0,209,0,0.0,0.0,0.0,,0
F3,0.995,valve1/8.csv,ok,1144,120,480,360,480,664,0,0,1.2924994067716817,,1,1,1,0,264,2,1.0,0.0,0.007575757575757576,347.0,0
F3,0.995,valve1/9.csv,ok,1148,120,480,360,480,668,0,0,2.0031395446297773,,1,1,2,1,266,28,1.0,13.533834586466165,0.10526315789473684,192.0,0
F3,0.995,valve2/0.csv,ok,1125,120,480,360,480,645,0,0,1.777202480064101,,1,1,1,0,251,0,1.0,0.0,0.0,277.0,0
F3,0.995,valve2/1.csv,ok,1063,120,480,360,480,583,0,0,2.40831806513459,,1,0,1,1,250,42,0.0,14.399999999999999,0.168,,0
F3,0.995,valve2/2.csv,ok,1129,120,480,360,480,649,0,0,2.6155970081163464,,1,0,0,0,254,0,0.0,0.0,0.0,,0
F3,0.995,valve2/3.csv,ok,995,120,480,360,480,515,0,0,1.6265979867114921,,1,0,0,0,120,0,0.0,0.0,0.0,,0
