method,q,file,status,N,cal_start,cal_end,cal_n,eval_start,eval_n,flagged,cal_anomaly_samples,threshold,pca_components,true_event_count,hit_event_count,alarm_event_count,false_alarm_event_count,healthy_samples,alarm_healthy_samples,event_recall,false_alarm_events_per_healthy_hour,tia_h,median_delay_s,too_early_overlap_count
F2,0.995,other/1.csv,ok,745,120,480,360,480,265,0,0,362.2629845272234,2,1,0,0,0,77,0,0.0,0.0,0.0,,0
F2,0.995,other/10.csv,ok,1327,120,480,360,480,847,0,0,275.2713507997892,2,1,1,1,0,261,0,1.0,0.0,0.0,207.0,0
F2,0.995,other/11.csv,ok,1190,120,480,360,480,710,0,0,1.5600197136208966,7,1,0,1,1,259,231,0.0,13.899613899613898,0.8918918918918919,,1
F2,0.995,other/12.csv,ok,1048,120,480,360,480,568,0,0,413.012428567887,2,1,0,0,0,259,0,0.0,0.0,0.0,,0
F2,0.995,other/13.csv,ok,923,120,480,360,480,443,0,0,401.18011113011477,2,1,0,0,0,178,0,0.0,0.0,0.0,,0
F2,0.995,other/14.csv,ok,905,120,480,360,480,425,0,0,53.06947383841852,3,1,0,0,0,123,0,0.0,0.0,0.0,,0
F2,0.995,other/2.csv,ok,780,120,480,360,480,300,1,360,376.46341201128445,2,0,0,0,0,292,0,,0.0,0.0,,0
F2,0.995,other/3.csv,ok,1137,120,480,360,480,657,0,0,76.41091984357703,3,1,0,0,0,259,0,0.0,0.0,0.0,,0
F2,0.995,other/4.csv,ok,1191,120,480,360,480,711,0,0,1.3781139572326895,7,1,0,1,1,316,307,0.0,11.39240506329114,0.9715189873417721,,1
F2,0.995,other/5.csv,ok,1155,120,480,360,480,675,0,0,2.696741227518632,6,1,1,1,0,265,0,1.0,0.0,0.0,9.0,0
F2,0.995,other/6.csv,ok,1147,120,480,360,480,667,0,0,293.7491841501617,1,1,0,1,1,265,19,0.0,13.584905660377357,0.07169811320754717,,0
F2,0.995,other/7.csv,ok,1090,120,480,360,480,610,0,0,1.4163323801987497,7,1,1,2,1,263,208,1.0,13.688212927756654,0.7908745247148289,272.0,0
F2,0.995,other/8.csv,ok,1147,120,480,360,480,667,0,0,1.285828260372003,7,1,0,1,1,264,240,0.0,13.636363636363637,0.9090909090909091,,1
F2,0.995,other/9.csv,ok,1144,120,480,360,480,664,0,0,228.92443277651392,1,1,1,1,0,263,0,1.0,0.0,0.0,54.0,0
F2,0.995,valve1/0.csv,ok,1147,120,480,360,480,667,0,0,235.32885803238992,2,1,1,1,0,266,0,1.0,0.0,0.0,237.0,0
F2,0.995,valve1/1.csv,ok,1145,120,480,360,480,665,0,0,274.4190348636137,2,1,0,0,0,263,0,0.0,0.0,0.0,,0
F2,0.995,valve1/10.csv,ok,1146,120,480,360,480,666,0,0,240.32680103554776,2,1,0,1,1,265,67,0.0,13.584905660377357,0.2528301886792453,,0
F2,0.995,valve1/11.csv,ok,1141,120,480,360,480,661,0,0,62.748275750092795,3,1,1,1,0,262,6,1.0,0.0,0.022900763358778626,366.0,0
F2,0.995,valve1/12.csv,ok,1140,120,480,360,480,660,0,0,81.91812768399245,3,1,1,1,0,261,0,1.0,0.0,0.0,32.0,0
F2,0.995,valve1/13.csv,ok,1140,120,480,360,480,660,0,0,70.43328103864565,3,1,1,1,0,261,0,1.0,0.0,0.0,184.0,0
F2,0.995,valve1/14.csv,ok,1139,120,480,360,480,659,0,0,86.4229350426608,3,1,1,2,1,260,40,1.0,13.846153846153847,0.15384615384615385,153.0,0
F2,0.995,valve1/15.csv,ok,1150,120,480,360,480,670,0,0,321.90493196917527,2,1,0,0,0,266,0,0.0,0.0,0.0,,0
F2,0.995,valve1/2.csv,ok,1075,120,480,360,480,595,0,0,70.39060754168058,3,1,0,0,0,258,0,0.0,0.0,0.0,,0
F2,0.995,valve1/3.csv,ok,1148,120,480,360,480,668,0,0,215.16709556340086,2,1,1,2,1,264,33,1.0,13.636363636363637,0.125,-27.0,0
F2,0.995,valve1/4.csv,ok,1095,120,480,360,480,615,0,0,49.808802073166014,3,1,1,2,1,266,70,1.0,13.533834586466165,0.2631578947368421,-25.0,0
F2,0.995,valve1/5.csv,ok,1154,120,480,360,480,674,0,0,96.87074838783937,3,1,0,0,0,271,0,0.0,0.0,0.0,,0
F2,0.995,valve1/6.csv,ok,1154,120,480,360,480,674,0,0,86.90133108325529,3,1,0,0,0,269,0,0.0,0.0,0.0,,0
F2,0.995,valve1/7.csv,ok,1094,120,480,360,480,614,0,0,230.77504733969275,2,1,1,2,1,209,49,1.0,17.22488038277512,0.23444976076555024,48.0,0
F2,0.995,valve1/8.csv,ok,1144,120,480,360,480,664,0,0,252.60806191380414,2,1,0,1,1,264,102,0.0,13.636363636363637,0.38636363636363635,,0
F2,0.995,valve1/9.csv,ok,1148,120,480,360,480,668,0,0,64.13977750826085,3,1,1,1,0,266,0,1.0,0.0,0.0,22.0,0
F2,0.995,valve2/0.csv,ok,1125,120,480,360,480,645,0,0,86.29633723874622,3,1,0,0,0,251,0,0.0,0.0,0.0,,0
F2,0.995,valve2/1.csv,ok,1063,120,480,360,480,583,0,0,451.16316809423466,2,1,0,0,0,250,0,0.0,0.0,0.0,,0
F2,0.995,valve2/2.csv,ok,1129,120,480,360,480,649,0,0,66.63579253497957,3,1,1,1,0,254,44,1.0,0.0,0.1732283464566929,-45.0,0
F2,0.995,valve2/3.csv,ok,995,120,480,360,480,515,0,0,91.72565044127023,3,1,0,0,0,120,0,0.0,0.0,0.0,,0
