file,method,rows,calibration_start_row,calibration_end_row_exclusive,calibration_anomaly_fraction,threshold,pca_components,f1,false_alarm_minute_ratio,false_positive_blocks,normal_blocks,fault_blocks,predicted_alarm_blocks,events_evaluated,events_detected,detected,delay_seconds
valve1/14.csv,fixed_robust_z,1139,120,455,0.0,11987.607610900915,,0.0,0.25,1,4,8,1,1,0,0,
valve1/14.csv,pca_reconstruction,1139,120,455,0.0,47619.48598661452,3.0,0.5714285714285714,0.5,2,4,8,6,1,1,1,0.0
valve1/15.csv,fixed_robust_z,1150,120,460,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/15.csv,pca_reconstruction,1150,120,460,0.0,648665.6061822366,2.0,0.3076923076923077,0.75,3,4,8,5,1,1,1,360.0
valve1/2.csv,fixed_robust_z,1075,120,430,0.0,11987.607610900914,,0.3333333333333333,0.8,4,5,6,6,1,1,1,0.0
valve1/2.csv,pca_reconstruction,1075,120,430,0.0,31667.466448383457,3.0,0.16666666666666666,1.0,5,5,6,6,1,1,1,0.0
valve1/3.csv,fixed_robust_z,1148,120,459,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/3.csv,pca_reconstruction,1148,120,459,0.0,392247.9301774267,2.0,0.5,0.25,1,4,8,4,1,1,1,0.0
valve1/4.csv,fixed_robust_z,1095,120,438,0.0,11987.607610900915,,0.0,0.0,0,4,7,0,1,0,0,
valve1/4.csv,pca_reconstruction,1095,120,438,0.0,22475.943116122162,3.0,0.36363636363636365,0.5,2,4,7,4,1,1,1,0.0
valve1/5.csv,fixed_robust_z,1154,120,461,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/5.csv,pca_reconstruction,1154,120,461,0.0,63792.28741799379,3.0,0.0,0.0,0,4,8,0,1,0,0,
valve1/6.csv,fixed_robust_z,1154,120,461,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/6.csv,pca_reconstruction,1154,120,461,0.0,66695.54595577427,3.0,0.2222222222222222,0.0,0,4,8,1,1,1,1,60.0
valve1/7.csv,fixed_robust_z,1094,120,437,0.0,8511.201403739746,,0.875,0.3333333333333333,1,3,8,8,1,1,1,60.0
valve1/7.csv,pca_reconstruction,1094,120,437,0.0,254782.0231278827,2.0,0.8888888888888888,0.6666666666666666,2,3,8,10,1,1,1,0.0
valve1/8.csv,fixed_robust_z,1144,120,457,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/8.csv,pca_reconstruction,1144,120,457,0.0,525950.3858790296,2.0,0.5333333333333333,0.75,3,4,8,7,1,1,1,60.0
valve1/9.csv,fixed_robust_z,1148,120,459,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve1/9.csv,pca_reconstruction,1148,120,459,0.0,31838.324241097413,3.0,0.75,0.5,2,4,8,8,1,1,1,60.0
valve2/0.csv,fixed_robust_z,1125,120,450,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve2/0.csv,pca_reconstruction,1125,120,450,0.0,60908.033027700025,3.0,0.0,0.0,0,4,8,0,1,0,0,
valve2/1.csv,fixed_robust_z,1063,120,425,0.0,11987.607610900914,,0.6153846153846154,0.6,3,5,6,7,1,1,1,0.0
valve2/1.csv,pca_reconstruction,1063,120,425,0.0,1089182.4435800787,2.0,0.5714285714285714,0.8,4,5,6,8,1,1,1,0.0
valve2/2.csv,fixed_robust_z,1129,120,451,0.0,11987.607610900915,,0.0,0.0,0,4,8,0,1,0,0,
valve2/2.csv,pca_reconstruction,1129,120,451,0.0,33615.49773329877,3.0,0.2,0.25,1,4,8,2,1,1,1,0.0
valve2/3.csv,fixed_robust_z,995,120,398,0.0,11987.607610900915,,0.2222222222222222,0.0,0,2,8,1,1,1,1,60.0
valve2/3.csv,pca_reconstruction,995,120,398,0.0,58421.49294834294,3.0,0.0,0.0,0,2,8,0,1,0,0,
