variant,conditioned,derived_features,aggregation,threshold,scored_minutes,alarm_events,timely,late,miss,false_alarm_events,event_status,score_p99,score_max
V0_conditioned_derived_top3,True,True,top3_rms,6.000000,215330,557,2,0,2,555,F1:miss;F2:timely;F3:timely;F4:miss,36.458074,50.000000
V1_no_conditioning,False,True,top3_rms,6.000000,215330,233,2,0,2,231,F1:miss;F2:timely;F3:timely;F4:miss,50.000000,50.000000
V2_no_derived,True,False,top3_rms,6.000000,215330,582,2,0,2,580,F1:miss;F2:timely;F3:timely;F4:miss,37.692509,50.000000
V3_max_aggregation,True,True,max,6.000000,215330,593,1,0,3,592,F1:miss;F2:timely;F3:miss;F4:miss,50.000000,50.000000
