regime,variant,conditioned,derived_features,aggregation,threshold,threshold_source,health_calibration_scores,health_score_q990,health_score_q995,scored_minutes,alarm_events,timely,late,miss,false_alarm_events,event_status,score_p99,score_max
shared_threshold_6,V0_conditioned_derived_top3,True,True,top3_rms,6.000000,shared fixed threshold from Q6,31564,17.317359,24.072442,215330,557,2,0,2,555,F1:miss;F2:timely;F3:timely;F4:miss,36.458074,50.000000
own_health_q995,V0_conditioned_derived_top3,True,True,top3_rms,24.072442,variant-own q0.995 over four fixed 7-day healthy calibration windows,31564,17.317359,24.072442,215330,110,2,0,2,108,F1:miss;F2:timely;F3:timely;F4:miss,36.458074,50.000000
shared_threshold_6,V1_no_conditioning,False,True,top3_rms,6.000000,shared fixed threshold from Q6,31564,41.508554,41.509319,215330,233,2,0,2,231,F1:miss;F2:timely;F3:timely;F4:miss,50.000000,50.000000
own_health_q995,V1_no_conditioning,False,True,top3_rms,41.509319,variant-own q0.995 over four fixed 7-day healthy calibration windows,31564,41.508554,41.509319,215330,61,3,0,1,58,F1:timely;F2:timely;F3:timely;F4:miss,50.000000,50.000000
shared_threshold_6,V2_no_derived,True,False,top3_rms,6.000000,shared fixed threshold from Q6,31564,17.317359,22.419725,215330,582,2,0,2,580,F1:miss;F2:timely;F3:timely;F4:miss,37.692509,50.000000
own_health_q995,V2_no_derived,True,False,top3_rms,22.419725,variant-own q0.995 over four fixed 7-day healthy calibration windows,31564,17.317359,22.419725,215330,111,2,0,2,109,F1:miss;F2:timely;F3:timely;F4:miss,37.692509,50.000000
shared_threshold_6,V3_max_aggregation,True,True,max,6.000000,shared fixed threshold from Q6,31564,27.654500,33.503607,215330,593,1,0,3,592,F1:miss;F2:timely;F3:miss;F4:miss,50.000000,50.000000
own_health_q995,V3_max_aggregation,True,True,max,33.503607,variant-own q0.995 over four fixed 7-day healthy calibration windows,31564,27.654500,33.503607,215330,108,2,0,2,106,F1:miss;F2:timely;F3:timely;F4:miss,50.000000,50.000000
