method,file,N_cx,eval_start_cx,cal_n_cx,cal_n_ds,truth_cx,truth_ds,hit_cx,hit_ds,fp_cx,fp_ds,alarm_cx,alarm_ds,healthy_cx,healthy_ds,alarm_healthy_cx,alarm_healthy_ds,int_ok
F2,valve1/4.csv,1095,480,360,360,1,1,1,1,1,1,2,2,266,266,70,77,True
F2,valve1/5.csv,1154,480,360,360,1,1,0,0,0,0,0,0,271,271,0,0,True
F2,valve1/6.csv,1154,480,360,360,1,1,0,0,0,0,0,0,269,269,0,0,True
F2,valve1/7.csv,1094,480,360,360,1,1,1,1,1,1,2,2,209,209,49,58,True
F2,valve1/8.csv,1144,480,360,360,1,1,0,0,1,1,1,1,264,264,102,111,True
F2,valve1/9.csv,1148,480,360,360,1,1,1,1,0,0,1,1,266,266,0,0,True
F2,valve2/0.csv,1125,480,360,360,1,1,0,0,0,0,0,0,251,251,0,0,True
F2,valve2/1.csv,1063,480,360,360,1,1,0,0,0,0,0,0,250,250,0,0,True
F2,valve2/2.csv,1129,480,360,360,1,1,1,1,0,0,1,1,254,254,44,41,True
F2,valve2/3.csv,995,480,360,360,1,1,0,0,0,0,0,0,120,120,0,0,True
F3,other/1.csv,745,480,360,360,1,1,0,0,1,1,1,1,77,77,68,77,True
F3,other/10.csv,1327,480,360,360,1,1,1,1,0,0,1,1,261,261,0,0,True
F3,other/11.csv,1190,480,360,360,1,1,0,0,0,0,0,0,259,259,0,0,True
F3,other/12.csv,1048,480,360,360,1,1,0,0,0,0,0,0,259,259,0,0,True
F3,other/13.csv,923,480,360,360,1,1,0,0,0,0,0,0,178,178,0,0,True
F3,other/14.csv,905,480,360,360,1,1,0,0,1,1,1,1,123,123,59,61,True
F3,other/2.csv,780,480,360,360,0,0,0,0,0,0,0,0,292,292,0,0,True
F3,other/3.csv,1137,480,360,360,1,1,0,0,1,1,1,1,259,259,47,52,True
F3,other/4.csv,1191,480,360,360,1,1,0,0,0,0,0,0,316,316,0,0,True
F3,other/5.csv,1155,480,360,360,1,1,1,1,1,1,2,2,265,265,157,88,True
F3,other/6.csv,1147,480,360,360,1,1,1,1,1,0,2,2,265,265,111,96,False
F3,other/7.csv,1090,480,360,360,1,1,1,1,0,0,1,1,263,263,0,0,True
F3,other/8.csv,1147,480,360,360,1,1,0,0,1,1,1,1,264,264,4,13,True
F3,other/9.csv,1144,480,360,360,1,1,0,0,0,0,0,0,263,263,0,0,True
F3,valve1/0.csv,1147,480,360,360,1,1,1,1,0,0,1,1,266,266,0,0,True
F3,valve1/1.csv,1145,480,360,360,1,1,0,0,0,0,0,0,263,263,0,0,True
F3,valve1/10.csv,1146,480,360,360,1,1,1,1,0,0,1,1,265,265,0,0,True
F3,valve1/11.csv,1141,480,360,360,1,1,0,0,0,0,0,0,262,262,0,0,True
F3,valve1/12.csv,1140,480,360,360,1,1,0,0,1,1,1,1,261,261,64,59,True
F3,valve1/13.csv,1140,480,360,360,1,1,0,0,1,1,1,1,261,261,12,21,True
F3,valve1/14.csv,1139,480,360,360,1,1,1,1,0,0,1,1,260,260,0,0,True
F3,valve1/15.csv,1150,480,360,360,1,1,1,1,0,0,1,1,266,266,25,34,True
F3,valve1/2.csv,1075,480,360,360,1,1,0,0,0,0,0,0,258,258,0,0,True
F3,valve1/3.csv,1148,480,360,360,1,1,0,0,0,0,0,0,264,264,0,0,True
F3,valve1/4.csv,1095,480,360,360,1,1,0,0,0,0,0,0,266,266,0,0,True
F3,valve1/5.csv,1154,480,360,360,1,1,0,0,0,0,0,0,271,271,0,0,True
F3,valve1/6.csv,1154,480,360,360,1,1,0,0,0,0,0,0,269,269,0,0,True
F3,valve1/7.csv,1094,480,360,360,1,1,0,0,0,0,0,0,209,209,0,0,True
F3,valve1/8.csv,1144,480,360,360,1,1,1,1,0,0,1,1,264,264,2,0,True
F3,valve1/9.csv,1148,480,360,360,1,1,1,1,1,1,2,2,266,266,28,43,True
F3,valve2/0.csv,1125,480,360,360,1,1,1,1,0,0,1,1,251,251,0,0,True
F3,valve2/1.csv,1063,480,360,360,1,1,0,0,1,1,1,1,250,250,42,46,True
F3,valve2/2.csv,1129,480,360,360,1,1,0,0,0,0,0,0,254,254,0,0,True
F3,valve2/3.csv,995,480,360,360,1,1,0,0,0,0,0,0,120,120,0,0,True
