策略,参数,计划更换,失效,浪费周期,总成本,单台成本,节省%
跑坏为止,—,0,100,0,5000000,50000,0.0
固定周期,每 25 周期,100,0,20548,2032880,20328,59.3
固定周期,每 40 周期,100,0,20548,2032880,20328,59.3
固定周期,每 50 周期,100,0,20548,2032880,20328,59.3
固定周期,每 75 周期,100,0,20548,2032880,20328,59.3
固定周期,每 100 周期,100,0,20548,2032880,20328,59.3
固定周期,每 125 周期,100,0,20548,2032880,20328,59.3
AI 预测性维护,提前期 10,8,92,17,4665020,46650,6.7
AI 预测性维护,提前期 15,10,90,372,4602320,46023,8.0
AI 预测性维护,提前期 20,17,83,662,4325720,43257,13.5
AI 预测性维护,提前期 25,21,79,836,4168160,41681,16.6
AI 预测性维护,提前期 30,27,73,1907,3980420,39804,20.4
AI 预测性维护,提前期 40,36,64,2765,3653900,36539,26.900000000000002
