实验,模型,训练窗口,测试窗口,准确率,宏F1,多数类基线
E3 7mil→14mil（新特征）,逻辑回归,950,947,0.483,0.392,0.251
E3 7mil→14mil（新特征）,随机森林,950,947,0.486,0.413,0.251
E4 7+14→21mil（留出尺寸）,逻辑回归,1661,949,0.25,0.251,0.251
E4 7+14→21mil（留出尺寸）,随机森林,1661,949,0.659,0.625,0.251
E5 1730全尺寸→1750（跨转速）,逻辑回归,2374,947,0.837,0.818,0.25
E5 1730全尺寸→1750（跨转速）,随机森林,2374,947,0.907,0.904,0.25
