t_day,SO3,SO4,SO5,SNH_eff,Ntot_eff,TSS_eff,sludge_h,kla_sum,timestamp
0.0,1.1499422624663256,1.7098422824338473,0.2389789336462131,2.956359790591627,0.7845180585385434,14.536723133699809,1.2818910895870754,564.0,1970-01-01 00:00:00
0.0104166666666666,1.1499324842575955,1.709830649708756,0.2389773632031204,2.9563098198055298,0.7845175759928118,14.5367692192326,1.2818879265334215,564.0,1970-01-01 00:15:00
0.0208333333333333,1.1661597727295296,1.7225732139415064,0.2399298101850378,2.9562625406685488,0.7845171094617386,14.47277352810548,1.2809313318526914,564.0,1970-01-01 00:30:00
0.03125,1.1855040295802397,1.744077392899701,0.2423723096974166,2.956210672105101,0.7845163785033942,14.370023075520058,1.2812391884255847,564.0,1970-01-01 00:45:00
0.0416666666666666,1.2005986890806808,1.7669894735186698,0.2458274934263363,2.9561174084466555,0.7845140019294716,14.286633563943502,1.2832934018480449,564.0,1970-01-01 01:00:00
0.0520833333333333,1.2260571834355298,1.802506624474277,0.2503532430047855,2.9559153154790705,0.7845073995074198,14.145365144811135,1.2832251805960264,564.0,1970-01-01 01:15:00
0.0625,1.2528238999028587,1.8447092143361208,0.2567744718422567,2.955475600866456,0.7844921465475464,14.006794745460272,1.2858013020990566,564.0,1970-01-01 01:30:00
0.0729166666666666,1.2774816591771807,1.8884232700174477,0.2643839064379816,2.954568860461866,0.7844605630108725,13.906497319944137,1.2904555596504697,564.0,1970-01-01 01:45:00
0.0833333333333333,1.3124375746002603,1.9446843999480423,0.2735034271969611,2.953035152638091,0.7844078823485263,13.791159887439305,1.2921254104343065,564.0,1970-01-01 02:00:00
0.09375,1.3517519258948671,2.010078833305825,0.2851717808348542,2.950594306091668,0.7843256795498927,13.691666446612238,1.2966712092342951,564.0,1970-01-01 02:15:00
0.1041666666666666,1.3908157178105278,2.078719269884271,0.2988600352701882,2.946807895333832,0.7842009473654268,13.6267505840731,1.3037819143415852,564.0,1970-01-01 02:30:00
0.1145833333333333,1.4391707276127752,2.158821818770161,0.3147659441648754,2.941727325118788,0.7840372835606662,13.553514376623852,1.3071078357493526,564.0,1970-01-01 02:45:00
0.125,1.490610457980632,2.24498414110037,0.3338999832379369,2.9350059906257697,0.7838253607500237,13.493777014826858,1.31431093056982,564.0,1970-01-01 03:00:00
0.1354166666666666,1.5406638746766803,2.3304355650419746,0.3554528117851749,2.926085617055105,0.7835498303517415,13.460366460940522,1.325006754756492,564.0,1970-01-01 03:15:00
