通道集,噪声结构,阈值中位,健康误报出现次,种子数,检出延迟中位,检出延迟区间,提前量中位,备注
比值通道,基线：流量 2% 白噪声 + 日粒度实验室 3% 白噪声,2.693,0,8,9.8,"[5.03, 11.03]",37.47,
比值通道,流量噪声加大到 5%,2.693,0,8,9.8,"[5.03, 11.03]",37.47,比值抵消流量计噪声 → 与基线同值
比值通道,+ 缓慢线性标定漂移 1%,2.584,0,8,10.03,"[1.99, 11.03]",38.96,
比值通道,+ 缓慢线性标定漂移 3%,2.419,0,8,9.53,"[5.03, 11.3]",39.96,
比值通道,+ 缓慢线性标定漂移 5%,2.743,0,8,11.03,"[9.93, 20.25]",38.96,
比值通道,+ 周期性日间偏差 3%（振幅×sin(天)）,3.521,0,8,13.28,"[7.82, 20.03]",32.5,Codex 口径；其独立实现给 31.07 天，方向一致、数值不跨实现
5 个原始量,基线（对照）,19.743,0,8,86.11,"[86.11, 86.14]",-39.62,同一噪声下原始量仍要 86 天
