通道集,流量分箱,平滑天,差分零阈值,零分布最大值,种子数,检出率,检出延迟中位,检出延迟区间,提前量中位
A 5 个原始量,无（无条件差分）,1.0,0.83,0.814,8,8/8,34.48,"[22.83, 63.0]",14.52
B 比值通道,无（无条件差分）,1.0,2.434,2.386,8,8/8,13.37,"[9.84, 19.18]",35.64
