偏差结构,幅度,缓解,检出延迟中位,检出延迟区间,检出率,提前量中位,健康误报出现次
线性慢漂移,10%,M1 无补偿,20.53,"[14.91, 24.03]",6/6,28.47,0/6
周期6.3天,10%,M1 无补偿,19.59,"[13.66, 25.64]",6/6,29.41,0/6
随机游走,10%,M1 无补偿,67.09,"[66.07, 68.11]",2/6,-18.09,0/6
AR1相关漂移,3%,M1 无补偿,12.84,"[8.16, 17.45]",6/6,36.16,0/6
AR1相关漂移,5%,M1 无补偿,20.55,"[16.53, 27.45]",6/6,28.45,0/6
AR1相关漂移,5%,M3 双测量平均,20.13,"[14.03, 30.28]",6/6,28.87,0/6
