model,category,RMSE,PHM08,MAE,train_rows,train_label_mean,test_prediction_mean,test_units,label_cap
gradient_boosting,learned_model,19.64844964056647,1019.9615926068531,14.551133408459528,19731,85.08925041812377,78.2351960181303,100,125
random_forest,learned_model,21.33056736821597,2243.4221130924852,15.458750000000002,19731,85.08925041812377,78.80875,100,125
ridge,learned_model,21.503504662658084,1190.3744250480406,16.968987181893326,19731,85.08925041812377,78.97670741066439,100,125
constant_125,trivial_control,64.61532326004414,1502475.4128506004,51.62,19731,85.08925041812377,125.0,100,125
constant_true_mean_oracle,trivial_control,41.555620558475596,12229.439233917179,36.7672,19731,85.08925041812377,75.52000000000001,100,125
constant_train_median_diagnostic,diagnostic_control,47.2463755223615,101156.74779812833,37.42,19731,85.08925041812377,98.0,100,125
trend_extrapolation,trivial_control,116.03460878806597,11330717465.009882,91.85783934490078,19731,85.08925041812377,130.0144556184648,100,125
