threshold,event_id,truth_start,truth_end,classification,alarm_onset,alarm_end,delay_minutes
8.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
9.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
9.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
9.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
9.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
9.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
9.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
9.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
9.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
10.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
10.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 07:18:00,-11.0
10.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
10.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
10.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
10.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:58:00,-11.0
10.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
10.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
11.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
11.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:58:00,-11.0
11.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
11.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
11.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
11.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:57:00,-11.0
11.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
11.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
12.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
12.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:57:00,-11.0
12.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
12.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 13:40:00,2020-07-16 00:00:00,-50.0
12.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
12.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
12.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
12.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 13:57:00,2020-07-16 00:00:00,-33.0
13.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
13.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
13.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
13.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:10:00,2020-07-16 00:00:00,-20.0
13.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
13.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
13.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
13.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:12:00,2020-07-16 00:00:00,-18.0
14.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
14.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
14.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
14.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:20:00,2020-07-16 00:00:00,-10.0
14.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
14.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
14.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
14.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:35:00,2020-07-16 00:00:00,5.0
15.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
15.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
15.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
15.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:38:00,2020-07-16 00:00:00,8.0
18.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
18.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
18.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
18.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:55:00,2020-07-16 00:00:00,25.0
22.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
22.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:19:00,2020-05-30 06:50:00,-11.0
22.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:54:00,2020-06-08 16:00:00,-6.0
22.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 15:19:00,2020-07-15 20:48:00,49.0
30.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,timely,2020-04-18 00:47:00,2020-04-19 02:45:00,47.0
30.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:48:00,2020-05-30 06:36:00,18.0
30.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 10:23:00,2020-06-08 13:50:00,23.0
30.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
