threshold,event_id,truth_start,truth_end,classification,alarm_onset,alarm_end,delay_minutes
8.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
8.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:48:00,-15.0
8.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
8.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
9.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
9.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:48:00,-15.0
9.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
9.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
9.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
9.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:47:00,-15.0
9.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
9.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
10.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
10.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
10.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
10.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
10.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
10.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
10.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
10.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
11.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
11.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
11.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
11.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
11.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
11.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
11.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
11.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
12.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
12.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
12.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
12.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 13:36:00,2020-07-15 19:41:00,-54.0
12.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
12.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
12.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
12.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 13:53:00,2020-07-15 19:40:00,-37.0
13.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
13.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
13.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
13.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:06:00,2020-07-15 19:30:00,-24.0
13.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
13.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
13.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
13.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:08:00,2020-07-15 19:30:00,-22.0
14.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
14.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
14.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
14.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:16:00,2020-07-15 19:30:00,-14.0
14.5,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
14.5,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
14.5,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
14.5,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:31:00,2020-07-15 19:28:00,1.0
15.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
15.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:37:00,-15.0
15.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
15.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:34:00,2020-07-15 19:27:00,4.0
18.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
18.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:33:00,-15.0
18.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
18.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 14:51:00,2020-07-15 19:16:00,21.0
22.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,miss,,,
22.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:15:00,2020-05-30 06:28:00,-15.0
22.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 09:50:00,2020-06-06 15:56:00,-10.0
22.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,timely,2020-07-15 15:15:00,2020-07-15 19:04:00,45.0
30.0,F1,2020-04-18 00:00:00,2020-04-18 23:59:00,timely,2020-04-18 00:43:00,2020-04-19 02:15:00,43.0
30.0,F2,2020-05-29 23:30:00,2020-05-30 06:00:00,timely,2020-05-29 23:44:00,2020-05-30 06:15:00,14.0
30.0,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,timely,2020-06-05 10:19:00,2020-06-06 15:56:00,19.0
30.0,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,miss,,,
