方案,方法,平均F1,精确率,召回率,误报次每时,事件检出率,检测延迟中位
① 传统做法,固定报警值（逐信号稳健 z-score）,0.704978694261373,0.690248255284006,0.7910494155340142,1038.3568736150958,0.9705882352941176,1.0
② 标准过程监控,马氏距离（静态基线 + 滑窗统计）,0.671356811207596,0.52064108890768,0.9775794881951062,2633.1909262970403,1.0,0.0
③ 本方案（自适应基线）,马氏距离,0.6124482057839404,0.5299646837055434,0.769473148188155,1968.571122506101,1.0,1.0
③ 本方案（自适应基线）,PCA 重构误差,0.49066739359379785,0.5859572765189069,0.4610151588311657,878.6741655403517,1.0,13.0
③ 本方案（自适应基线）,孤立森林,0.061586598754465705,0.18758864122780206,0.0464399852188098,88.57634610660851,0.2647058823529412,37.0
