方案,方法,平均F1,精确率,召回率,误报分钟比例,误报事件次每时,事件检出率,检测延迟中位,平凡基线F1
① 传统做法,固定报警值（逐信号稳健 z）,0.6675484688976624,0.7112713265846802,0.6514939308037678,19.7%,0.35294117647058826,0.8235294117647058,60.0,0.7606080144564575
② 本方案（自适应基线+滑窗特征+1分钟判决）,马氏距离,0.682939834481688,0.672688014488127,0.750560223969408,59.5%,0.0,1.0,0.0,0.7606080144564575
② 本方案（自适应基线+滑窗特征+1分钟判决）,PCA 重构误差,0.4357970456559117,0.7393907559449672,0.3525676936858371,15.9%,0.0,0.8823529411764706,0.0,0.7606080144564575
② 本方案（自适应基线+滑窗特征+1分钟判决）,孤立森林,0.18376247915215146,0.37794117623115187,0.13492063489710698,5.7%,0.4411764705882353,0.4411764705882353,60.0,0.7606080144564575
