方案,方法,F1,精确率,召回率,误报分钟比例,事件检出率,延迟中位
全局迁移(仅正常机训练),1D 卷积自编码器,0.08193277301755471,0.22058823512499998,0.051400560215827,0.7%,0.23529411764705882,0.0
逐设备自校准(本机历史),1D 卷积自编码器,0.06640989722208675,0.17647058810294117,0.041596638648833534,0.0%,0.17647058823529413,0.0
