events,hits,recall,fp_events,healthy_hours,fp_per_hour,tia,delay_median,too_early,n_alarm_events,file,method,flagged,cal_len
1,1,1.0,0,0.0725,0.0,0.0,23.0,0,1,valve1\12.csv,F2,0,360
1,0,0.0,1,0.0725,13.793103448275863,0.2796934865900383,,0,1,valve1\12.csv,F3,0,360
1,0,0.0,0,0.0725,0.0,0.0,,0,0,valve1\13.csv,F0,0,360
1,1,1.0,0,0.0725,0.0,0.0,175.0,0,1,valve1\13.csv,F2,0,360
1,0,0.0,1,0.0725,13.793103448275863,0.08045977011494253,,0,1,valve1\13.csv,F3,0,360
1,0,0.0,0,0.07222222222222222,0.0,0.0,,0,0,valve1\14.csv,F0,0,360
1,1,1.0,1,0.07222222222222222,13.846153846153847,0.18846153846153846,144.0,0,2,valve1\14.csv,F2,0,360
1,1,1.0,0,0.07222222222222222,0.0,0.0,326.0,0,1,valve1\14.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\15.csv,F0,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\15.csv,F2,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.12781954887218044,-34.0,0,1,valve1\15.csv,F3,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F0,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F2,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F3,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\3.csv,F0,0,360
1,1,1.0,1,0.07333333333333333,13.636363636363637,0.19318181818181818,-36.0,0,2,valve1\3.csv,F2,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\3.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\4.csv,F0,0,360
1,1,1.0,1,0.07388888888888889,13.533834586466165,0.3308270676691729,-34.0,0,2,valve1\4.csv,F2,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\4.csv,F3,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F0,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F2,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F3,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F0,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F2,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F3,0,360
1,0,0.0,0,0.058055555555555555,0.0,0.0,,0,0,valve1\7.csv,F0,0,360
1,1,1.0,1,0.058055555555555555,17.22488038277512,0.27751196172248804,39.0,0,2,valve1\7.csv,F2,0,360
1,0,0.0,0,0.058055555555555555,0.0,0.0,,0,0,valve1\7.csv,F3,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\8.csv,F0,0,360
1,0,0.0,1,0.07333333333333333,13.636363636363637,0.42045454545454547,,0,1,valve1\8.csv,F2,0,360
1,1,1.0,0,0.07333333333333333,0.0,0.007575757575757576,338.0,0,1,valve1\8.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\9.csv,F0,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.0,13.0,0,1,valve1\9.csv,F2,0,360
1,1,1.0,1,0.07388888888888889,13.533834586466165,0.13909774436090225,183.0,0,2,valve1\9.csv,F3,0,360
1,0,0.0,0,0.06972222222222223,0.0,0.0,,0,0,valve2\0.csv,F0,0,360
1,0,0.0,0,0.06972222222222223,0.0,0.0,,0,0,valve2\0.csv,F2,0,360
1,1,1.0,0,0.06972222222222223,0.0,0.0,268.0,0,1,valve2\0.csv,F3,0,360
1,0,0.0,0,0.06944444444444445,0.0,0.0,,0,0,valve2\1.csv,F0,0,360
1,0,0.0,0,0.06944444444444445,0.0,0.0,,0,0,valve2\1.csv,F2,0,360
1,0,0.0,1,0.06944444444444445,14.399999999999999,0.204,,0,1,valve2\1.csv,F3,0,360
1,0,0.0,0,0.07055555555555555,0.0,0.0,,0,0,valve2\2.csv,F0,0,360
1,1,1.0,0,0.07055555555555555,0.0,0.20866141732283464,-54.0,0,1,valve2\2.csv,F2,0,360
1,0,0.0,0,0.07055555555555555,0.0,0.0,,0,0,valve2\2.csv,F3,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F0,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F2,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F3,0,360
