file,method,quantile,events,hits,fp_events,healthy_hours,alarm_healthy,recall,fp_per_hour,tia,delay
other\13.csv,F3,0.9,1,1,0,0.049444444444444444,0.0,1.0,0.0,0.0,44.0
other\13.csv,F3,0.99,1,0,0,0.049444444444444444,0.0,0.0,0.0,0.0,
other\13.csv,F3,0.995,1,0,0,0.049444444444444444,0.0,0.0,0.0,0.0,
other\13.csv,F3,0.999,1,0,0,0.049444444444444444,0.0,0.0,0.0,0.0,
other\14.csv,F0,0.9,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F0,0.99,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F0,0.995,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F0,0.999,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F2,0.9,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F2,0.99,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F2,0.995,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F2,0.999,1,0,0,0.034166666666666665,0.0,0.0,0.0,0.0,
other\14.csv,F3,0.9,1,0,1,0.034166666666666665,81.0,0.0,29.26829268292683,0.6585365853658537,
other\14.csv,F3,0.99,1,0,1,0.034166666666666665,60.99999999999999,0.0,29.26829268292683,0.4959349593495935,
other\14.csv,F3,0.995,1,0,1,0.034166666666666665,58.99999999999999,0.0,29.26829268292683,0.4796747967479675,
other\14.csv,F3,0.999,1,0,1,0.034166666666666665,58.99999999999999,0.0,29.26829268292683,0.4796747967479675,
other\2.csv,F0,0.9,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F0,0.99,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F0,0.995,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F0,0.999,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F2,0.9,0,0,1,0.0811111111111111,156.0,0.0,12.328767123287673,0.5342465753424658,
other\2.csv,F2,0.99,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F2,0.995,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F2,0.999,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F3,0.9,0,0,1,0.0811111111111111,39.99999999999999,0.0,12.328767123287673,0.136986301369863,
other\2.csv,F3,0.99,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F3,0.995,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\2.csv,F3,0.999,0,0,0,0.0811111111111111,0.0,0.0,0.0,0.0,
other\3.csv,F0,0.9,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F0,0.99,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F0,0.995,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F0,0.999,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F2,0.9,1,0,1,0.07194444444444445,60.000000000000014,0.0,13.899613899613898,0.23166023166023167,
other\3.csv,F2,0.99,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F2,0.995,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F2,0.999,1,0,0,0.07194444444444445,0.0,0.0,0.0,0.0,
other\3.csv,F3,0.9,1,0,1,0.07194444444444445,50.0,0.0,13.899613899613898,0.19305019305019305,
other\3.csv,F3,0.99,1,0,1,0.07194444444444445,48.0,0.0,13.899613899613898,0.18532818532818532,
other\3.csv,F3,0.995,1,0,1,0.07194444444444445,47.0,0.0,13.899613899613898,0.18146718146718147,
other\3.csv,F3,0.999,1,0,1,0.07194444444444445,47.0,0.0,13.899613899613898,0.18146718146718147,
other\4.csv,F0,0.9,1,1,0,0.08777777777777777,0.0,1.0,0.0,0.0,394.0
other\4.csv,F0,0.99,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\4.csv,F0,0.995,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\4.csv,F0,0.999,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
