file,method,quantile,recall,fp_per_hour,tia,delay
other\4.csv,F3,0.999,0.0,0.0,0.0,
other\5.csv,F0,0.9,1.0,13.584905660377357,0.23018867924528302,0.0
other\5.csv,F0,0.99,1.0,13.584905660377357,0.23018867924528302,0.0
other\5.csv,F0,0.995,1.0,13.584905660377357,0.23018867924528302,0.0
other\5.csv,F0,0.999,1.0,13.584905660377357,0.22641509433962265,0.0
other\5.csv,F2,0.9,1.0,0.0,0.0,0.0
other\5.csv,F2,0.99,1.0,0.0,0.5169811320754717,0.0
other\5.csv,F2,0.995,1.0,0.0,0.45660377358490567,0.0
other\5.csv,F2,0.999,1.0,13.584905660377357,0.4528301886792453,0.0
other\5.csv,F3,0.9,1.0,13.584905660377357,0.35471698113207545,28.0
other\5.csv,F3,0.99,1.0,13.584905660377357,0.3320754716981132,34.0
other\5.csv,F3,0.995,1.0,13.584905660377357,0.3320754716981132,42.0
other\5.csv,F3,0.999,1.0,13.584905660377357,0.3320754716981132,48.0
other\6.csv,F0,0.9,1.0,0.0,0.0,0.0
other\6.csv,F0,0.99,1.0,0.0,0.03018867924528302,1.0
other\6.csv,F0,0.995,0.0,0.0,0.0,
other\6.csv,F0,0.999,0.0,0.0,0.0,
other\6.csv,F2,0.9,1.0,0.0,0.23773584905660378,1.0
other\6.csv,F2,0.99,1.0,0.0,0.2339622641509434,1.0
other\6.csv,F2,0.995,0.0,13.584905660377357,0.10566037735849057,
other\6.csv,F2,0.999,0.0,13.584905660377357,0.10566037735849057,
other\6.csv,F3,0.9,1.0,0.0,0.3849056603773585,-49.0
other\6.csv,F3,0.99,1.0,0.0,0.3660377358490566,-47.0
other\6.csv,F3,0.995,1.0,0.0,0.3622641509433962,-47.0
other\6.csv,F3,0.999,1.0,0.0,0.3622641509433962,-47.0
other\7.csv,F0,0.9,1.0,0.0,0.0,1.0
other\7.csv,F0,0.99,1.0,0.0,0.0,1.0
other\7.csv,F0,0.995,1.0,0.0,0.0,1.0
other\7.csv,F0,0.999,1.0,0.0,0.0,1.0
other\7.csv,F2,0.9,0.0,13.688212927756654,0.9695817490494296,
other\7.csv,F2,0.99,1.0,13.688212927756654,0.8136882129277566,-3.0
other\7.csv,F2,0.995,1.0,13.688212927756654,0.8136882129277566,-3.0
other\7.csv,F2,0.999,1.0,13.688212927756654,0.8136882129277566,-3.0
other\7.csv,F3,0.9,1.0,0.0,0.0,279.0
other\7.csv,F3,0.99,1.0,0.0,0.0,284.0
other\7.csv,F3,0.995,1.0,0.0,0.0,284.0
other\7.csv,F3,0.999,1.0,0.0,0.0,284.0
other\8.csv,F0,0.9,1.0,0.0,0.6515151515151515,400.0
other\8.csv,F0,0.99,1.0,0.0,0.1553030303030303,401.0
other\8.csv,F0,0.995,1.0,0.0,0.14772727272727273,401.0
other\8.csv,F0,0.999,0.0,0.0,0.0,
other\8.csv,F2,0.9,0.0,13.636363636363637,0.9431818181818182,
other\8.csv,F2,0.99,0.0,13.636363636363637,0.9431818181818182,
