events,hits,recall,fp_events,healthy_hours,fp_per_hour,tia,delay_median,too_early,n_alarm_events,file,method,flagged,cal_len
1,1,1.0,0,0.0725,0.0,0.0,32.0,0,1,valve1\12.csv,F2,0,360
1,0,0.0,1,0.0725,13.793103448275863,0.24521072796934865,,0,1,valve1\12.csv,F3,0,360
1,0,0.0,0,0.0725,0.0,0.0,,0,0,valve1\13.csv,F0,0,360
1,1,1.0,0,0.0725,0.0,0.0,184.0,0,1,valve1\13.csv,F2,0,360
1,0,0.0,1,0.0725,13.793103448275863,0.04597701149425287,,0,1,valve1\13.csv,F3,0,360
1,0,0.0,0,0.07222222222222222,0.0,0.0,,0,0,valve1\14.csv,F0,0,360
1,1,1.0,1,0.07222222222222222,13.846153846153847,0.15384615384615385,153.0,0,2,valve1\14.csv,F2,0,360
1,1,1.0,0,0.07222222222222222,0.0,0.0,335.0,0,1,valve1\14.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\15.csv,F0,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\15.csv,F2,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.09398496240601503,-25.0,0,1,valve1\15.csv,F3,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F0,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F2,0,360
1,0,0.0,0,0.07166666666666667,0.0,0.0,,0,0,valve1\2.csv,F3,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\3.csv,F0,0,360
1,1,1.0,1,0.07333333333333333,13.636363636363637,0.125,-27.0,0,2,valve1\3.csv,F2,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\3.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\4.csv,F0,0,360
1,1,1.0,1,0.07388888888888889,13.533834586466165,0.2631578947368421,-25.0,0,2,valve1\4.csv,F2,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\4.csv,F3,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F0,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F2,0,360
1,0,0.0,0,0.07527777777777778,0.0,0.0,,0,0,valve1\5.csv,F3,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F0,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F2,0,360
1,0,0.0,0,0.07472222222222222,0.0,0.0,,0,0,valve1\6.csv,F3,0,360
1,0,0.0,0,0.058055555555555555,0.0,0.0,,0,0,valve1\7.csv,F0,0,360
1,1,1.0,1,0.058055555555555555,17.22488038277512,0.23444976076555024,48.0,0,2,valve1\7.csv,F2,0,360
1,0,0.0,0,0.058055555555555555,0.0,0.0,,0,0,valve1\7.csv,F3,0,360
1,0,0.0,0,0.07333333333333333,0.0,0.0,,0,0,valve1\8.csv,F0,0,360
1,0,0.0,1,0.07333333333333333,13.636363636363637,0.38636363636363635,,0,1,valve1\8.csv,F2,0,360
1,1,1.0,0,0.07333333333333333,0.0,0.007575757575757576,347.0,0,1,valve1\8.csv,F3,0,360
1,0,0.0,0,0.07388888888888889,0.0,0.0,,0,0,valve1\9.csv,F0,0,360
1,1,1.0,0,0.07388888888888889,0.0,0.0,22.0,0,1,valve1\9.csv,F2,0,360
1,1,1.0,1,0.07388888888888889,13.533834586466165,0.10526315789473684,192.0,0,2,valve1\9.csv,F3,0,360
1,0,0.0,0,0.06972222222222223,0.0,0.0,,0,0,valve2\0.csv,F0,0,360
1,0,0.0,0,0.06972222222222223,0.0,0.0,,0,0,valve2\0.csv,F2,0,360
1,1,1.0,0,0.06972222222222223,0.0,0.0,277.0,0,1,valve2\0.csv,F3,0,360
1,0,0.0,0,0.06944444444444445,0.0,0.0,,0,0,valve2\1.csv,F0,0,360
1,0,0.0,0,0.06944444444444445,0.0,0.0,,0,0,valve2\1.csv,F2,0,360
1,0,0.0,1,0.06944444444444445,14.399999999999999,0.168,,0,1,valve2\1.csv,F3,0,360
1,0,0.0,0,0.07055555555555555,0.0,0.0,,0,0,valve2\2.csv,F0,0,360
1,1,1.0,0,0.07055555555555555,0.0,0.1732283464566929,-45.0,0,1,valve2\2.csv,F2,0,360
1,0,0.0,0,0.07055555555555555,0.0,0.0,,0,0,valve2\2.csv,F3,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F0,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F2,0,360
1,0,0.0,0,0.03333333333333333,0.0,0.0,,0,0,valve2\3.csv,F3,0,360
