cal_mode,file,method,quantile,recall,fp_per_hour,delay,time_in_alarm
mid,other\3.csv,F3,0.99,0.0,0.0,,0.0
mid,other\3.csv,F3,0.995,0.0,0.0,,0.0
mid,other\3.csv,F3,0.999,0.0,0.0,,0.0
mid,other\4.csv,F0,0.9,1.0,0.0,385.0,0.0
mid,other\4.csv,F0,0.99,0.0,0.0,,0.0
mid,other\4.csv,F0,0.995,0.0,0.0,,0.0
mid,other\4.csv,F0,0.999,0.0,0.0,,0.0
mid,other\4.csv,F2,0.9,1.0,17.910447761194032,224.0,0.7611940298507462
mid,other\4.csv,F2,0.99,0.0,0.0,,0.0
mid,other\4.csv,F2,0.995,0.0,0.0,,0.0
mid,other\4.csv,F2,0.999,0.0,0.0,,0.0
mid,other\4.csv,F3,0.9,1.0,17.910447761194032,91.0,0.0
mid,other\4.csv,F3,0.99,1.0,17.910447761194032,363.0,0.35323383084577115
mid,other\4.csv,F3,0.995,1.0,17.910447761194032,363.0,0.35323383084577115
mid,other\4.csv,F3,0.999,1.0,17.910447761194032,363.0,0.35323383084577115
mid,other\5.csv,F0,0.9,0.0,41.61849710982659,,0.35260115606936415
mid,other\5.csv,F0,0.99,1.0,0.0,-5.0,0.0
mid,other\5.csv,F0,0.995,0.0,0.0,,0.0
mid,other\5.csv,F0,0.999,0.0,0.0,,0.0
mid,other\5.csv,F2,0.9,1.0,41.61849710982659,-1.0,0.6936416184971098
mid,other\5.csv,F2,0.99,1.0,20.809248554913296,-1.0,0.6936416184971098
mid,other\5.csv,F2,0.995,1.0,20.809248554913296,-1.0,0.6878612716763006
mid,other\5.csv,F2,0.999,1.0,20.809248554913296,0.0,0.6878612716763006
mid,other\5.csv,F3,0.9,1.0,20.809248554913296,209.0,0.0
mid,other\5.csv,F3,0.99,1.0,0.0,-4.0,1.0
mid,other\5.csv,F3,0.995,1.0,20.809248554913296,-3.0,0.9942196531791907
mid,other\5.csv,F3,0.999,1.0,20.809248554913296,-1.0,0.6011560693641619
mid,other\6.csv,F0,0.9,1.0,0.0,0.0,0.0
mid,other\6.csv,F0,0.99,1.0,0.0,1.0,0.046511627906976744
mid,other\6.csv,F0,0.995,0.0,0.0,,0.0
mid,other\6.csv,F0,0.999,0.0,0.0,,0.0
mid,other\6.csv,F2,0.9,1.0,20.930232558139533,1.0,0.36627906976744184
mid,other\6.csv,F2,0.99,1.0,0.0,1.0,0.36046511627906974
mid,other\6.csv,F2,0.995,0.0,20.930232558139533,,0.16279069767441862
mid,other\6.csv,F2,0.999,0.0,20.930232558139533,,0.16279069767441862
mid,other\6.csv,F3,0.9,1.0,0.0,-45.0,0.29651162790697677
mid,other\6.csv,F3,0.99,1.0,20.930232558139533,124.0,0.3313953488372093
mid,other\6.csv,F3,0.995,1.0,20.930232558139533,124.0,0.31976744186046513
mid,other\6.csv,F3,0.999,1.0,20.930232558139533,124.0,0.31976744186046513
mid,other\7.csv,F0,0.9,1.0,0.0,1.0,0.0
mid,other\7.csv,F0,0.99,1.0,0.0,1.0,0.0
mid,other\7.csv,F0,0.995,1.0,0.0,1.0,0.0
mid,other\7.csv,F0,0.999,1.0,0.0,1.0,0.0
mid,other\7.csv,F2,0.9,1.0,36.36363636363637,-4.0,0.8838383838383839
