方案,方法,平均F1,精确率,召回率,误报次每时,事件检出率,检测延迟中位
A 全局模型直接迁移,固定阈值法 (稳健 z-score),0.15750459905984668,0.29749276594047913,0.1346753761893023,142.81849562650808,0.47058823529411764,73.5
A 全局模型直接迁移,马氏距离 (Mahalanobis),0.49170091569088514,0.37736801154706584,0.9136700370018288,3267.345803823144,1.0,0.0
A 全局模型直接迁移,PCA 重构误差 SPE,0.5151154614914466,0.3630526078495023,0.944769131773943,3273.041573585917,1.0,0.0
A 全局模型直接迁移,孤立森林 (IsolationForest),0.4717978456523677,0.5052053716080547,0.5754367110336825,1300.0171531808944,0.9705882352941176,7.0
B 逐设备自校准(前20%历史),固定阈值法 (稳健 z-score),0.6911839326723827,0.5817360374888415,0.9174396735477176,1968.1171705077581,1.0,0.0
B 逐设备自校准(前20%历史),马氏距离 (Mahalanobis),0.6063301167099026,0.4363663619571466,0.999999999997303,3555.449851751775,1.0,0.0
B 逐设备自校准(前20%历史),PCA 重构误差 SPE,0.6061349398624751,0.436140843787814,0.999999999997303,3558.514510750208,1.0,0.0
B 逐设备自校准(前20%历史),孤立森林 (IsolationForest),0.6163628948174704,0.5466853648411303,0.8305699428602655,2097.601718892764,0.9705882352941176,0.0
