events,hit,recall,fp_events,healthy_hours,fp_per_hour,time_in_alarm,delay_median,file,method,cal_mode,flagged,cal_len
1,0,0.0,0,0.0475,0.0,0.0,,valve1\12.csv,F3,mid,0,450
1,0,0.0,0,0.0475,0.0,0.0,,valve1\13.csv,F0,mid,0,450
1,1,1.0,0,0.0475,0.0,0.0,175.0,valve1\13.csv,F2,mid,0,450
1,1,1.0,1,0.0475,21.05263157894737,0.23391812865497075,81.0,valve1\13.csv,F3,mid,0,450
1,0,0.0,0,0.0475,0.0,0.0,,valve1\14.csv,F0,mid,0,449
1,1,1.0,1,0.0475,21.05263157894737,0.29239766081871343,144.0,valve1\14.csv,F2,mid,0,449
1,1,1.0,1,0.0475,21.05263157894737,0.3742690058479532,8.0,valve1\14.csv,F3,mid,0,449
1,0,0.0,0,0.04777777777777778,0.0,0.0,,valve1\15.csv,F0,mid,1,455
1,0,0.0,1,0.04777777777777778,20.930232558139533,0.0,,valve1\15.csv,F2,mid,1,455
1,0,0.0,0,0.04777777777777778,0.0,0.0,,valve1\15.csv,F3,mid,1,455
1,0,0.0,0,0.05583333333333333,0.0,0.0,,valve1\2.csv,F0,mid,0,417
1,0,0.0,1,0.05583333333333333,17.910447761194032,0.0,,valve1\2.csv,F2,mid,0,417
1,0,0.0,0,0.05583333333333333,0.0,0.0,,valve1\2.csv,F3,mid,0,417
1,0,0.0,0,0.0475,0.0,0.0,,valve1\3.csv,F0,mid,1,454
1,0,0.0,0,0.0475,0.0,0.0,,valve1\3.csv,F2,mid,1,454
1,1,1.0,1,0.0475,21.05263157894737,0.30409356725146197,3.0,valve1\3.csv,F3,mid,1,454
1,0,0.0,0,0.05527777777777778,0.0,0.0,,valve1\4.csv,F0,mid,0,427
1,1,1.0,2,0.05527777777777778,36.18090452261306,0.2562814070351759,-11.0,valve1\4.csv,F2,mid,0,427
1,1,1.0,0,0.05527777777777778,0.0,0.005025125628140704,301.0,valve1\4.csv,F3,mid,0,427
1,0,0.0,0,0.04833333333333333,0.0,0.0,,valve1\5.csv,F0,mid,0,457
1,0,0.0,0,0.04833333333333333,0.0,0.0,,valve1\5.csv,F2,mid,0,457
1,1,1.0,1,0.04833333333333333,20.689655172413794,0.4367816091954023,83.0,valve1\5.csv,F3,mid,0,457
1,0,0.0,0,0.04805555555555555,0.0,0.0,,valve1\6.csv,F0,mid,1,457
1,0,0.0,0,0.04805555555555555,0.0,0.0,,valve1\6.csv,F2,mid,1,457
1,1,1.0,0,0.04805555555555555,0.0,0.0,110.0,valve1\6.csv,F3,mid,1,457
1,0,0.0,0,0.03944444444444444,0.0,0.0,,valve1\7.csv,F0,mid,0,427
1,1,1.0,1,0.03944444444444444,25.35211267605634,0.4084507042253521,39.0,valve1\7.csv,F2,mid,0,427
1,1,1.0,0,0.03944444444444444,0.0,0.7183098591549296,-27.0,valve1\7.csv,F3,mid,0,427
1,0,0.0,0,0.04777777777777778,0.0,0.0,,valve1\8.csv,F0,mid,0,452
1,0,0.0,1,0.04777777777777778,20.930232558139533,0.6453488372093024,,valve1\8.csv,F2,mid,0,452
1,1,1.0,0,0.04777777777777778,0.0,0.0,43.0,valve1\8.csv,F3,mid,0,452
1,0,0.0,0,0.04777777777777778,0.0,0.0,,valve1\9.csv,F0,mid,0,454
1,0,0.0,0,0.04777777777777778,0.0,0.0,,valve1\9.csv,F2,mid,0,454
1,1,1.0,1,0.04777777777777778,20.930232558139533,0.22093023255813954,182.0,valve1\9.csv,F3,mid,0,454
1,0,0.0,0,0.04694444444444444,0.0,0.0,,valve2\0.csv,F0,mid,0,442
1,0,0.0,0,0.04694444444444444,0.0,0.0,,valve2\0.csv,F2,mid,0,442
1,1,1.0,0,0.04694444444444444,0.0,0.0,251.0,valve2\0.csv,F3,mid,0,442
1,0,0.0,0,0.05527777777777778,0.0,0.0,,valve2\1.csv,F0,mid,0,411
1,0,0.0,0,0.05527777777777778,0.0,0.0,,valve2\1.csv,F2,mid,0,411
1,0,0.0,1,0.05527777777777778,18.09045226130653,0.22110552763819097,,valve2\1.csv,F3,mid,0,411
1,0,0.0,0,0.04722222222222222,0.0,0.0,,valve2\2.csv,F0,mid,0,444
1,0,0.0,0,0.04722222222222222,0.0,0.0,,valve2\2.csv,F2,mid,0,444
1,0,0.0,0,0.04722222222222222,0.0,0.0,,valve2\2.csv,F3,mid,0,444
1,0,0.0,0,0.02861111111111111,0.0,0.0,,valve2\3.csv,F0,mid,0,377
1,1,1.0,0,0.02861111111111111,0.0,0.0,48.0,valve2\3.csv,F2,mid,0,377
1,1,1.0,0,0.02861111111111111,0.0,0.0,93.0,valve2\3.csv,F3,mid,0,377
1,0,0.0,0,0.05138888888888889,0.0,0.0,,other\1.csv,F0,fixed,0,252
1,0,0.0,0,0.05138888888888889,0.0,0.0,,other\1.csv,F2,fixed,0,252
1,1,1.0,0,0.05138888888888889,0.0,0.7405405405405405,-137.0,other\1.csv,F3,fixed,0,252
1,0,0.0,0,0.10027777777777777,0.0,0.0,,other\10.csv,F0,fixed,0,260
1,1,1.0,0,0.10027777777777777,0.0,0.5096952908587258,-118.0,other\10.csv,F2,fixed,0,260
1,1,1.0,0,0.10027777777777777,0.0,0.889196675900277,-150.0,other\10.csv,F3,fixed,0,260
1,1,1.0,0,0.09972222222222223,0.0,0.0,119.0,other\11.csv,F0,fixed,0,260
1,1,1.0,1,0.09972222222222223,10.027855153203342,0.9136490250696379,-159.0,other\11.csv,F2,fixed,0,260
1,1,1.0,0,0.09972222222222223,0.0,0.8885793871866295,-150.0,other\11.csv,F3,fixed,0,260
1,0,0.0,0,0.09972222222222223,0.0,0.0,,other\12.csv,F0,fixed,0,260
1,0,0.0,0,0.09972222222222223,0.0,0.0,,other\12.csv,F2,fixed,0,260
1,1,1.0,0,0.09972222222222223,0.0,0.8885793871866295,-148.0,other\12.csv,F3,fixed,0,260
1,0,0.0,0,0.07722222222222222,0.0,0.0,,other\13.csv,F0,fixed,0,260
1,1,1.0,1,0.07722222222222222,12.949640287769785,0.302158273381295,-84.0,other\13.csv,F2,fixed,0,260
1,1,1.0,0,0.07722222222222222,0.0,0.8561151079136691,-75.0,other\13.csv,F3,fixed,0,260
1,0,0.0,0,0.06194444444444445,0.0,0.0,,other\14.csv,F0,fixed,0,260
1,0,0.0,1,0.06194444444444445,16.143497757847534,0.0,,other\14.csv,F2,fixed,0,260
1,1,1.0,0,0.06194444444444445,0.0,0.820627802690583,-151.0,other\14.csv,F3,fixed,0,260
1,0,0.0,0,0.0811111111111111,0.0,0.0,,other\2.csv,F0,fixed,1,260
1,0,0.0,1,0.0811111111111111,12.328767123287673,0.4623287671232877,,other\2.csv,F2,fixed,1,260
1,1,1.0,0,0.0811111111111111,0.0,1.0,40.0,other\2.csv,F3,fixed,1,260
1,0,0.0,0,0.09972222222222223,0.0,0.0,,other\3.csv,F0,fixed,0,260
1,0,0.0,1,0.09972222222222223,10.027855153203342,0.0,,other\3.csv,F2,fixed,0,260
1,1,1.0,0,0.09972222222222223,0.0,0.8885793871866295,-148.0,other\3.csv,F3,fixed,0,260
1,0,0.0,0,0.11555555555555555,0.0,0.0,,other\4.csv,F0,fixed,0,260
1,1,1.0,1,0.11555555555555555,8.653846153846155,0.9975961538461539,-415.0,other\4.csv,F2,fixed,0,260
1,1,1.0,0,0.11555555555555555,0.0,0.9038461538461539,-376.0,other\4.csv,F3,fixed,0,260
1,1,1.0,1,0.10138888888888889,9.863013698630137,0.16712328767123288,0.0,other\5.csv,F0,fixed,0,260
1,0,0.0,2,0.10138888888888889,19.726027397260275,0.5534246575342465,,other\5.csv,F2,fixed,0,260
1,1,1.0,0,0.10138888888888889,0.0,0.8904109589041096,-152.0,other\5.csv,F3,fixed,0,260
1,0,0.0,0,0.10138888888888889,0.0,0.0,,other\6.csv,F0,fixed,0,260
1,0,0.0,1,0.10138888888888889,9.863013698630137,0.07671232876712329,,other\6.csv,F2,fixed,0,260
1,1,1.0,0,0.10138888888888889,0.0,0.8904109589041096,-153.0,other\6.csv,F3,fixed,0,260
1,1,1.0,0,0.10083333333333333,0.0,0.0,1.0,other\7.csv,F0,fixed,0,260
1,1,1.0,2,0.10083333333333333,19.834710743801654,0.6859504132231405,-3.0,other\7.csv,F2,fixed,0,260
1,1,1.0,0,0.10083333333333333,0.0,0.8898071625344353,-152.0,other\7.csv,F3,fixed,0,260
1,1,1.0,0,0.10111111111111111,0.0,0.10714285714285714,401.0,other\8.csv,F0,fixed,0,260
1,1,1.0,1,0.10111111111111111,9.89010989010989,0.9835164835164835,-186.0,other\8.csv,F2,fixed,0,260
1,1,1.0,0,0.10111111111111111,0.0,0.8901098901098901,-152.0,other\8.csv,F3,fixed,0,260
1,1,1.0,0,0.10083333333333333,0.0,0.0,4.0,other\9.csv,F0,fixed,0,260
1,1,1.0,2,0.10083333333333333,19.834710743801654,0.24793388429752067,14.0,other\9.csv,F2,fixed,0,260
1,1,1.0,0,0.10083333333333333,0.0,0.8898071625344353,-152.0,other\9.csv,F3,fixed,0,260
1,0,0.0,0,0.10166666666666667,0.0,0.0,,valve1\0.csv,F0,fixed,0,260
1,1,1.0,0,0.10166666666666667,0.0,0.0,228.0,valve1\0.csv,F2,fixed,0,260
1,1,1.0,0,0.10166666666666667,0.0,0.8907103825136612,-153.0,valve1\0.csv,F3,fixed,0,260
1,0,0.0,0,0.10083333333333333,0.0,0.0,,valve1\1.csv,F0,fixed,0,260
1,1,1.0,1,0.10083333333333333,9.917355371900827,0.0,233.0,valve1\1.csv,F2,fixed,0,260
1,1,1.0,0,0.10083333333333333,0.0,0.8898071625344353,-152.0,valve1\1.csv,F3,fixed,0,260
1,0,0.0,0,0.10138888888888889,0.0,0.0,,valve1\10.csv,F0,fixed,0,260
1,1,1.0,2,0.10138888888888889,19.726027397260275,0.4986301369863014,-148.0,valve1\10.csv,F2,fixed,0,260
1,1,1.0,0,0.10138888888888889,0.0,0.8904109589041096,-153.0,valve1\10.csv,F3,fixed,0,260
1,0,0.0,0,0.10055555555555555,0.0,0.0,,valve1\11.csv,F0,fixed,0,260
1,1,1.0,0,0.10055555555555555,0.0,0.03038674033149171,340.0,valve1\11.csv,F2,fixed,0,260
1,1,1.0,0,0.10055555555555555,0.0,0.8895027624309392,-152.0,valve1\11.csv,F3,fixed,0,260
1,0,0.0,0,0.10027777777777777,0.0,0.0,,valve1\12.csv,F0,fixed,0,260
1,1,1.0,1,0.10027777777777777,9.97229916897507,0.11634349030470914,196.0,valve1\12.csv,F2,fixed,0,260
1,1,1.0,0,0.10027777777777777,0.0,0.889196675900277,-150.0,valve1\12.csv,F3,fixed,0,260
1,0,0.0,0,0.10027777777777777,0.0,0.0,,valve1\13.csv,F0,fixed,0,260
1,0,0.0,1,0.10027777777777777,9.97229916897507,0.1883656509695291,,valve1\13.csv,F2,fixed,0,260
1,1,1.0,0,0.10027777777777777,0.0,0.889196675900277,-150.0,valve1\13.csv,F3,fixed,0,260
1,0,0.0,0,0.1,0.0,0.0,,valve1\14.csv,F0,fixed,0,260
